date,year,total,age,short,location
2011-01-17,2011,78.0,Y_GE80,PL62,warmińsko-mazurskie
2011-01-17,2011,143.0,Y_GE80,PL63,pomorskie
2011-01-17,2011,259.0,Y_GE80,PL71,łódzkie
2011-01-17,2011,131.0,Y_GE80,PL72,świętokrzyskie
2011-01-17,2011,200.0,Y_GE80,PL81,lubelskie
2011-01-17,2011,153.0,Y_GE80,PL82,podkarpackie
2011-01-17,2011,109.0,Y_GE80,PL84,podlaskie
2011-01-17,2011,441.0,Y_GE80,PL9,mazowieckie
2011-01-17,2011,77.0,Y_LT20,PL,Polska
2011-01-17,2011,5.0,Y_LT20,PL22,śląskie
2011-01-17,2011,221.0,Y_GE80,PL51,dolnośląskie
2011-01-17,2011,8.0,Y_LT20,PL41,wielkopolskie
2011-01-17,2011,2.0,Y_LT20,PL43,lubuskie
2011-01-17,2011,7.0,Y_LT20,PL51,dolnośląskie
2011-01-17,2011,1.0,Y_LT20,PL52,opolskie
2011-01-17,2011,10.0,Y_LT20,PL61,kujawsko-pomorskie
2011-01-17,2011,1.0,Y_LT20,PL62,warmińsko-mazurskie
2011-01-17,2011,4.0,Y_LT20,PL63,pomorskie
2011-01-17,2011,6.0,Y_LT20,PL71,łódzkie
2011-01-17,2011,7.0,Y_LT20,PL72,świętokrzyskie
2011-01-17,2011,1.0,Y_LT20,PL81,lubelskie
2011-01-17,2011,0.0,Y_LT20,PL82,podkarpackie
2011-01-17,2011,2.0,Y_LT20,PL84,podlaskie
2011-01-17,2011,75.0,Y40-59,PL61,kujawsko-pomorskie
2011-01-17,2011,4.0,Y_LT20,PL42,zachodniopomorskie
2011-01-17,2011,70.0,Y_GE80,PL43,lubuskie
2011-01-17,2011,9.0,Y_LT20,PL9,mazowieckie
2011-01-17,2011,231.0,Y_GE80,PL41,wielkopolskie
2011-01-17,2011,112.0,Y_GE80,PL42,zachodniopomorskie
2011-01-17,2011,112.0,Y40-59,PL71,łódzkie
2011-01-17,2011,40.0,Y40-59,PL72,świętokrzyskie
2011-01-17,2011,83.0,Y40-59,PL81,lubelskie
2011-01-17,2011,60.0,Y40-59,PL82,podkarpackie
2011-01-17,2011,36.0,Y40-59,PL84,podlaskie
2011-01-17,2011,161.0,Y40-59,PL9,mazowieckie
2011-01-17,2011,3166.0,Y60-79,PL,Polska
2011-01-17,2011,264.0,Y60-79,PL21,małopolskie
2011-01-17,2011,462.0,Y60-79,PL22,śląskie
2011-01-17,2011,261.0,Y60-79,PL41,wielkopolskie
2011-01-17,2011,145.0,Y60-79,PL42,zachodniopomorskie
2011-01-17,2011,77.0,Y60-79,PL43,lubuskie
2011-01-17,2011,239.0,Y60-79,PL51,dolnośląskie
2011-01-17,2011,57.0,Y40-59,PL63,pomorskie
2011-01-17,2011,80.0,Y60-79,PL84,podlaskie
2011-01-17,2011,167.0,Y60-79,PL61,kujawsko-pomorskie
2011-01-17,2011,116.0,Y60-79,PL62,warmińsko-mazurskie
2011-01-17,2011,159.0,Y60-79,PL63,pomorskie
2011-01-17,2011,273.0,Y60-79,PL71,łódzkie
2011-01-17,2011,138.0,Y60-79,PL72,świętokrzyskie
2011-01-17,2011,188.0,Y60-79,PL81,lubelskie
2011-01-17,2011,135.0,Y60-79,PL82,podkarpackie
2011-01-17,2011,86.0,Y60-79,PL52,opolskie
2011-01-17,2011,376.0,Y60-79,PL9,mazowieckie
